datetime,IF.CFFEX
2023-11-13,-115980.79800000068
2023-11-14,-115980.79800000068
2023-11-15,-115980.79800000068
2023-11-16,-115980.79800000068
2023-11-17,-115980.79800000068
2023-11-20,-115980.79800000068
2023-11-21,-115980.79800000068
2023-11-22,-115980.79800000068
2023-11-23,-115980.79800000068
2023-11-24,-115980.79800000068
2023-11-27,-115980.79800000068
2023-11-28,-115980.79800000068
2023-11-29,-115980.79800000068
2023-11-30,-115980.79800000068
2023-12-01,-115980.79800000068
2023-12-04,-115980.79800000068
2023-12-05,-115980.79800000068
2023-12-06,-115980.79800000068
2023-12-07,-115980.79800000068
2023-12-08,-115980.79800000068
2023-12-11,-115980.79800000068
2023-12-12,-115980.79800000068
2023-12-13,-115980.79800000068
2023-12-14,-115980.79800000068
2023-12-15,-115980.79800000068
2023-12-18,-115980.79800000068
2023-12-19,-115980.79800000068
2023-12-20,-115980.79800000068
2023-12-21,-115980.79800000068
2023-12-22,-115980.79800000068
2023-12-25,-115980.79800000068
2023-12-26,-115980.79800000068
2023-12-27,-115980.79800000068
2023-12-28,-115980.79800000068
2023-12-29,-127016.67000000092
2024-01-02,-118376.67000000141
2024-01-03,-116216.67000000092
2024-01-04,-114265.86600000066
2024-01-05,-114265.86600000066
2024-01-08,-114265.86600000066
2024-01-09,-114265.86600000066
2024-01-10,-114265.86600000066
2024-01-11,-114265.86600000066
2024-01-12,-114265.86600000066
2024-01-15,-114265.86600000066
2024-01-16,-114265.86600000066
2024-01-17,-114265.86600000066
2024-01-18,-114265.86600000066
2024-01-19,-114265.86600000066
2024-01-22,-114265.86600000066
2024-01-23,-114265.86600000066
2024-01-24,-114265.86600000066
2024-01-25,-114265.86600000066
2024-01-26,-114265.86600000066
2024-01-29,-114265.86600000066
2024-01-30,-114265.86600000066
2024-01-31,-114265.86600000066
2024-02-01,-114265.86600000066
2024-02-02,-114265.86600000066
2024-02-05,-93340.38600000093
2024-02-06,-149140.38600000064
2024-02-07,-128140.38600000064
2024-02-08,-118540.38600000119
2024-02-19,-131140.38600000064
2024-02-20,-113740.38600000009
2024-02-21,-135340.3860000009
2024-02-22,-137740.3860000001
2024-02-23,-142540.38599999982
2024-02-26,-138340.38599999953
2024-02-27,-140140.38600000064
2024-02-28,-133540.38599999982
2024-02-29,-141340.38599999953
2024-03-01,-143740.3860000001
2024-03-04,-131140.38600000064
2024-03-05,-110740.3860000001
2024-03-06,-111940.38600000038
2024-03-07,-106540.38599999982
2024-03-08,-95740.3860000001
2024-03-11,-78340.38600000093
2024-03-12,-102940.38600000039
2024-03-13,-114688.74599999984
2024-03-14,-114688.74599999984
2024-03-15,-114688.74599999984
2024-03-18,-114688.74599999984
2024-03-19,-114688.74599999984
2024-03-20,-114688.74599999984
2024-03-21,-114688.74599999984
2024-03-22,-114688.74599999984
2024-03-25,-114688.74599999984
2024-03-26,-114688.74599999984
2024-03-27,-114688.74599999984
2024-03-28,-114688.74599999984
2024-03-29,-114688.74599999984
2024-04-01,-114688.74599999984
2024-04-02,-114688.74599999984
2024-04-03,-114688.74599999984
2024-04-08,-114688.74599999984
2024-04-09,-114688.74599999984
2024-04-10,-114688.74599999984
2024-04-11,-114688.74599999984
2024-04-12,-114688.74599999984
2024-04-15,-114688.74599999984
2024-04-16,-114688.74599999984
2024-04-17,-114688.74599999984
2024-04-18,-114688.74599999984
2024-04-19,-114688.74599999984
2024-04-22,-114688.74599999984
2024-04-23,-114688.74599999984
2024-04-24,-114688.74599999984
2024-04-25,-114688.74599999984
2024-04-26,-114688.74599999984
2024-04-29,-114688.74599999984
2024-04-30,-114688.74599999984
2024-05-06,-114688.74599999984
2024-05-07,-114688.74599999984
2024-05-08,-114688.74599999984
2024-05-09,-114688.74599999984
2024-05-10,-114688.74599999984
2024-05-13,-114688.74599999984
2024-05-14,-114688.74599999984
2024-05-15,-114688.74599999984
2024-05-16,-114688.74599999984
2024-05-17,-114688.74599999984
2024-05-20,-114688.74599999984
2024-05-21,-114688.74599999984
2024-05-22,-114688.74599999984
2024-05-23,-114688.74599999984
2024-05-24,-114688.74599999984
2024-05-27,-114688.74599999984
2024-05-28,-114688.74599999984
2024-05-29,-114688.74599999984
2024-05-30,-114688.74599999984
2024-05-31,-114688.74599999984
2024-06-03,-114688.74599999984
2024-06-04,-114688.74599999984
2024-06-05,-114688.74599999984
2024-06-06,-114688.74599999984
2024-06-07,-114688.74599999984
2024-06-11,-114688.74599999984
2024-06-12,-114688.74599999984
2024-06-13,-114688.74599999984
2024-06-14,-114688.74599999984
2024-06-17,-114688.74599999984
2024-06-18,-114688.74599999984
2024-06-19,-114688.74599999984
2024-06-20,-114688.74599999984
2024-06-21,-114688.74599999984
2024-06-24,-114688.74599999984
2024-06-25,-114688.74599999984
2024-06-26,-114688.74599999984
2024-06-27,-114688.74599999984
2024-06-28,-114688.74599999984
2024-07-01,-114688.74599999984
2024-07-02,-114688.74599999984
2024-07-03,-114688.74599999984
2024-07-04,-114688.74599999984
2024-07-05,-114688.74599999984
2024-07-08,-114688.74599999984
2024-07-09,-114688.74599999984
2024-07-10,-114688.74599999984
2024-07-11,-114688.74599999984
2024-07-12,-114688.74599999984
2024-07-15,-114688.74599999984
2024-07-16,-114688.74599999984
2024-07-17,-114688.74599999984
2024-07-18,-114688.74599999984
2024-07-19,-114688.74599999984
2024-07-22,-114688.74599999984
2024-07-23,-114688.74599999984
2024-07-24,-114688.74599999984
2024-07-25,-114688.74599999984
2024-07-26,-114688.74599999984
2024-07-29,-114688.74599999984
2024-07-30,-114688.74599999984
2024-07-31,-114688.74599999984
2024-08-01,-114688.74599999984
2024-08-02,-114688.74599999984
2024-08-05,-114688.74599999984
2024-08-06,-114688.74599999984
2024-08-07,-114688.74599999984
