datetime,IC.CFFEX
2024-08-14,-264939.15599999786
2024-08-15,-269339.1559999993
2024-08-16,-272939.15599999967
2024-08-19,-272139.15599999856
2024-08-20,-268139.15599999856
2024-08-21,-274139.15599999856
2024-08-22,-269339.15599999926
2024-08-23,-276139.15599999856
2024-08-26,-274139.15599999856
2024-08-27,-277739.1559999989
2024-08-28,-271339.15599999926
2024-08-29,-299118.3559999993
2024-08-30,-284927.2359999993
2024-09-02,-273727.2359999985
2024-09-03,-274927.2359999992
2024-09-04,-270527.23599999957
2024-09-05,-272927.2359999992
2024-09-06,-265327.23599999887
2024-09-09,-266527.23599999776
2024-09-10,-262527.23599999776
2024-09-11,-252527.23599999957
2024-09-12,-256927.23599999922
2024-09-13,-261327.23599999887
2024-09-18,-264294.5159999978
2024-09-19,-264294.5159999978
2024-09-20,-264294.5159999978
2024-09-23,-264294.5159999978
2024-09-24,-264294.5159999978
2024-09-25,-264294.5159999978
2024-09-26,-264294.5159999978
2024-09-27,-264294.5159999978
2024-09-30,-264294.5159999978
2024-10-08,-264294.5159999978
2024-10-09,-264294.5159999978
2024-10-10,-264294.5159999978
2024-10-11,-264294.5159999978
2024-10-14,-264294.5159999978
2024-10-15,-264294.5159999978
2024-10-16,-264294.5159999978
2024-10-17,-264294.5159999978
2024-10-18,-264294.5159999978
2024-10-21,-264294.5159999978
2024-10-22,-264294.5159999978
2024-10-23,-264294.5159999978
2024-10-24,-264294.5159999978
2024-10-25,-264294.5159999978
2024-10-28,-264294.5159999978
2024-10-29,-264294.5159999978
2024-10-30,-264294.5159999978
2024-10-31,-264294.5159999978
2024-11-01,-264294.5159999978
2024-11-04,-273834.0679999981
2024-11-05,-266794.06799999723
2024-11-06,-274154.0679999978
2024-11-07,-266794.06799999723
2024-11-08,-266474.0679999975
2024-11-11,-246954.06799999782
2024-11-12,-242154.06799999782
2024-11-13,-238634.0679999981
2024-11-14,-243434.0679999981
2024-11-15,-266794.06799999723
2024-11-18,-262634.0679999981
2024-11-19,-262314.0679999984
2024-11-20,-239594.06799999723
2024-11-21,-248234.0679999981
2024-11-22,-244394.06799999723
2024-11-25,-246314.06799999694
2024-11-26,-246634.06799999665
2024-11-27,-246634.06799999665
2024-11-28,-248234.06799999665
2024-11-29,-246634.0679999981
2024-12-02,-244714.06799999694
2024-12-03,-243114.0679999984
2024-12-04,-240234.0679999981
2024-12-05,-226794.06799999723
2024-12-06,-227434.0679999981
2024-12-09,-226794.06799999723
2024-12-10,-231914.0679999984
2024-12-11,-231274.06799999753
2024-12-12,-234474.06799999753
2024-12-13,-222954.06799999782
2024-12-16,-234794.06799999723
2024-12-17,-237034.06799999665
2024-12-18,-231224.65999999782
2024-12-19,-231224.65999999782
2024-12-20,-225108.3399999978
2024-12-23,-231492.17999999723
2024-12-24,-231492.17999999723
2024-12-25,-231492.17999999723
2024-12-26,-231492.17999999723
2024-12-27,-231492.17999999723
2024-12-30,-231492.17999999723
2024-12-31,-231492.17999999723
2025-01-02,-231492.17999999723
2025-01-03,-231492.17999999723
2025-01-06,-231492.17999999723
2025-01-07,-231492.17999999723
2025-01-08,-231492.17999999723
2025-01-09,-231492.17999999723
2025-01-10,-231492.17999999723
2025-01-13,-231492.17999999723
2025-01-14,-231492.17999999723
2025-01-15,-231492.17999999723
2025-01-16,-231492.17999999723
2025-01-17,-231492.17999999723
2025-01-20,-231492.17999999723
2025-01-21,-231492.17999999723
2025-01-22,-231492.17999999723
2025-01-23,-231492.17999999723
2025-01-24,-231492.17999999723
2025-01-27,-231492.17999999723
2025-02-05,-231492.17999999723
2025-02-06,-256934.64399999753
2025-02-07,-255654.64399999724
2025-02-10,-252774.6439999984
2025-02-11,-250534.64399999753
2025-02-12,-247334.64399999753
2025-02-13,-246374.6439999984
2025-02-14,-245734.64399999753
2025-02-17,-239654.6439999987
2025-02-18,-238054.64399999724
2025-02-19,-237734.64399999898
2025-02-20,-231974.6439999984
2025-02-21,-229734.64399999753
2025-02-24,-226214.64399999782
2025-02-25,-220774.6439999984
2025-02-26,-197094.6439999981
2025-02-27,-198374.6439999984
2025-02-28,-204454.6439999987
2025-03-03,-206694.6439999981
2025-03-04,-197094.6439999981
2025-03-05,-184934.64399999753
2025-03-06,-194214.64399999782
2025-03-07,-189414.64399999782
2025-03-10,-182374.6439999984
2025-03-11,-163494.6439999981
2025-03-12,-155814.64399999782
2025-03-13,-163814.64399999782
2025-03-14,-184294.6439999981
2025-03-17,-178214.64399999782
2025-03-18,-172134.64399999898
2025-03-19,-182063.57199999754
2025-03-20,-182063.57199999754
2025-03-21,-182063.57199999754
2025-03-24,-182063.57199999754
2025-03-25,-182063.57199999754
2025-03-26,-182063.57199999754
2025-03-27,-182063.57199999754
2025-03-28,-182063.57199999754
2025-03-31,-182063.57199999754
2025-04-01,-182063.57199999754
2025-04-02,-182063.57199999754
2025-04-03,-182063.57199999754
2025-04-07,-182063.57199999754
2025-04-08,-182063.57199999754
2025-04-09,-182063.57199999754
2025-04-10,-182063.57199999754
2025-04-11,-182063.57199999754
2025-04-14,-182063.57199999754
2025-04-15,-182063.57199999754
2025-04-16,-182063.57199999754
2025-04-17,-182063.57199999754
2025-04-18,-182063.57199999754
2025-04-21,-182063.57199999754
2025-04-22,-182063.57199999754
2025-04-23,-182063.57199999754
2025-04-24,-182063.57199999754
2025-04-25,-182063.57199999754
2025-04-28,-182063.57199999754
2025-04-29,-182063.57199999754
2025-04-30,-182063.57199999754
2025-05-06,-182063.57199999754
2025-05-07,-182063.57199999754
2025-05-08,-182063.57199999754
