datetime,pnl,cost,net_pnl,pair,position_value
2025-04-18,0.0,0.0,0.0,,0.0
2025-04-21,0.0,0.0,0.0,,0.0
2025-04-22,0.0,0.0,0.0,,0.0
2025-04-23,0.0,0.0,0.0,,0.0
2025-04-24,0.0,0.0,0.0,,0.0
2025-04-25,0.0,0.0,0.0,,0.0
2025-04-28,0.0,0.0,0.0,,0.0
2025-04-29,0.0,0.0,0.0,,0.0
2025-04-30,0.0,0.0,0.0,,0.0
2025-05-06,0.0,-1876.352,-1876.352,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-07,3200.0,0.0,3200.0,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-08,12160.000000000582,0.0,12160.000000000582,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-09,-5120.000000001164,0.0,-5120.000000001164,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-12,12800.000000001455,0.0,12800.000000001455,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-13,1280.000000000291,0.0,1280.000000000291,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-14,2559.999999999127,0.0,2559.999999999127,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-15,3519.999999999709,0.0,3519.999999999709,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-16,8960.000000000582,0.0,8960.000000000582,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-19,36159.99999999913,0.0,36159.99999999913,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-20,26560.000000000582,0.0,26560.000000000582,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-21,-639.9999999994179,0.0,-639.9999999994179,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-22,-1280.000000000291,-1865.312,-3145.312000000291,,0.0
2025-05-23,0.0,0.0,0.0,,0.0
2025-05-26,0.0,0.0,0.0,,0.0
2025-05-27,0.0,0.0,0.0,,0.0
2025-05-28,0.0,0.0,0.0,,0.0
2025-05-29,0.0,-1890.592,-1890.592,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-05-30,639.9999999994179,0.0,639.9999999994179,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-03,10880.000000000291,0.0,10880.000000000291,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-04,7039.999999999418,0.0,7039.999999999418,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-05,5120.000000001164,0.0,5120.000000001164,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-06,-1920.0000000011642,0.0,-1920.0000000011642,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-09,-6719.999999999709,0.0,-6719.999999999709,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-10,4800.0,0.0,4800.0,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-11,-2559.999999999127,0.0,-2559.999999999127,IM2506.CFFEX / IM2509.CFFEX,20000000.0
2025-06-12,5759.999999999127,-1928.544,3831.455999999127,,0.0
2025-06-13,0.0,0.0,0.0,,0.0
2025-06-16,0.0,0.0,0.0,,0.0
2025-06-17,0.0,0.0,0.0,,0.0
2025-06-18,0.0,0.0,0.0,,0.0
2025-06-19,0.0,0.0,0.0,,0.0
2025-06-20,0.0,0.0,0.0,,0.0
2025-06-23,0.0,0.0,0.0,,0.0
2025-06-24,0.0,0.0,0.0,,0.0
2025-06-25,0.0,0.0,0.0,,0.0
2025-06-26,0.0,0.0,0.0,,0.0
2025-06-27,0.0,0.0,0.0,,0.0
2025-06-30,0.0,0.0,0.0,,0.0
2025-07-01,0.0,0.0,0.0,,0.0
2025-07-02,0.0,0.0,0.0,,0.0
2025-07-03,0.0,0.0,0.0,,0.0
2025-07-04,0.0,0.0,0.0,,0.0
2025-07-07,0.0,0.0,0.0,,0.0
2025-07-08,0.0,0.0,0.0,,0.0
2025-07-09,0.0,0.0,0.0,,0.0
2025-07-10,0.0,0.0,0.0,,0.0
2025-07-11,0.0,0.0,0.0,,0.0
2025-07-14,0.0,0.0,0.0,,0.0
2025-07-15,0.0,0.0,0.0,,0.0
2025-07-16,0.0,0.0,0.0,,0.0
2025-07-17,0.0,0.0,0.0,,0.0
2025-07-18,0.0,0.0,0.0,,0.0
2025-07-21,0.0,0.0,0.0,,0.0
2025-07-22,0.0,0.0,0.0,,0.0
2025-07-23,0.0,0.0,0.0,,0.0
2025-07-24,0.0,0.0,0.0,,0.0
2025-07-25,0.0,0.0,0.0,,0.0
2025-07-28,0.0,0.0,0.0,,0.0
2025-07-29,0.0,0.0,0.0,,0.0
2025-07-30,0.0,0.0,0.0,,0.0
2025-07-31,0.0,0.0,0.0,,0.0
2025-08-01,0.0,0.0,0.0,,0.0
2025-08-04,0.0,0.0,0.0,,0.0
2025-08-05,0.0,0.0,0.0,,0.0
2025-08-06,0.0,0.0,0.0,,0.0
2025-08-07,0.0,0.0,0.0,,0.0
2025-08-08,0.0,0.0,0.0,,0.0
2025-08-11,0.0,0.0,0.0,,0.0
2025-08-12,0.0,0.0,0.0,,0.0
2025-08-13,0.0,0.0,0.0,,0.0
2025-08-14,0.0,-1915.788,-1915.788,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-15,-14840.000000000524,0.0,-14840.000000000524,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-18,-10079.999999999738,0.0,-10079.999999999738,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-19,7559.999999999491,0.0,7559.999999999491,IM2509.CFFEX / IM2512.CFFEX,20000000.0
2025-08-20,-7559.999999999476,0.0,-7559.999999999476,IM2509.CFFEX / IM2512.CFFEX,20000000.0
