datetime,IM2209.CFFEX,IM2212.CFFEX,IM2303.CFFEX,IM2306.CFFEX,IM2309.CFFEX,IM2312.CFFEX,IM2403.CFFEX,IM2406.CFFEX,IM2409.CFFEX,IM2412.CFFEX,IM2503.CFFEX,IM2506.CFFEX,IM2509.CFFEX,IM2512.CFFEX,IM2603.CFFEX,IM2606.CFFEX,IM2609.CFFEX
2026-01-08,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-09,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-12,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-13,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-14,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-15,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-16,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-19,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-20,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-21,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-22,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-23,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-26,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-27,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-28,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-29,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-01-30,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2026-02-02,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-03,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-04,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-05,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-06,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-09,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-10,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
2026-02-11,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7871.8,7701.6,
