datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2024-05-06,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2409.CFFEX,0.0,3.0,3.0
2024-05-06,IM,IM2409.CFFEX,far,IM2406.CFFEX,IM2409.CFFEX,0.0,-3.0,-3.0
2024-06-14,IF,IF2406.CFFEX,near,IF2406.CFFEX,IF2406.CFFEX,3.0,0.0,-3.0
2024-06-14,IF,IF2409.CFFEX,unknown,IF2406.CFFEX,IF2406.CFFEX,-3.0,0.0,3.0
2024-06-18,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2406.CFFEX,3.0,0.0,-3.0
2024-06-18,IC,IC2409.CFFEX,unknown,IC2406.CFFEX,IC2406.CFFEX,-3.0,0.0,3.0
2024-06-18,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2406.CFFEX,3.0,0.0,-3.0
2024-06-18,IM,IM2409.CFFEX,unknown,IM2406.CFFEX,IM2406.CFFEX,-3.0,0.0,3.0
2024-06-20,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2407.CFFEX,0.0,3.0,3.0
2024-06-20,IM,IM2407.CFFEX,far,IM2406.CFFEX,IM2407.CFFEX,0.0,-3.0,-3.0
2024-06-21,IM,IM2406.CFFEX,unknown,IM2407.CFFEX,IM2407.CFFEX,3.0,0.0,-3.0
2024-06-21,IM,IM2407.CFFEX,near,IM2407.CFFEX,IM2407.CFFEX,-3.0,0.0,3.0
2024-08-01,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,0.0,3.0,3.0
2024-08-01,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,0.0,-3.0,-3.0
2024-08-13,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2412.CFFEX,0.0,3.0,3.0
2024-08-13,IM,IM2412.CFFEX,far,IM2409.CFFEX,IM2412.CFFEX,0.0,-3.0,-3.0
2024-08-14,IF,IF2409.CFFEX,near,IF2409.CFFEX,IF2412.CFFEX,0.0,3.0,3.0
2024-08-14,IF,IF2412.CFFEX,far,IF2409.CFFEX,IF2412.CFFEX,0.0,-3.0,-3.0
2024-09-13,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2409.CFFEX,3.0,0.0,-3.0
2024-09-13,IC,IC2412.CFFEX,unknown,IC2409.CFFEX,IC2409.CFFEX,-3.0,0.0,3.0
2024-09-13,IF,IF2409.CFFEX,near,IF2409.CFFEX,IF2409.CFFEX,3.0,0.0,-3.0
2024-09-13,IF,IF2412.CFFEX,unknown,IF2409.CFFEX,IF2409.CFFEX,-3.0,0.0,3.0
2024-09-18,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2409.CFFEX,3.0,0.0,-3.0
2024-09-18,IM,IM2412.CFFEX,unknown,IM2409.CFFEX,IM2409.CFFEX,-3.0,0.0,3.0
2024-11-01,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,0.0,2.0,2.0
2024-11-01,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,0.0,-2.0,-2.0
2024-11-01,IF,IF2412.CFFEX,near,IF2412.CFFEX,IF2503.CFFEX,0.0,2.0,2.0
2024-11-01,IF,IF2503.CFFEX,far,IF2412.CFFEX,IF2503.CFFEX,0.0,-2.0,-2.0
2024-11-01,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2503.CFFEX,0.0,2.0,2.0
2024-11-01,IM,IM2503.CFFEX,far,IM2412.CFFEX,IM2503.CFFEX,0.0,-2.0,-2.0
2024-12-16,IF,IF2412.CFFEX,near,IF2412.CFFEX,IF2412.CFFEX,2.0,0.0,-2.0
2024-12-16,IF,IF2503.CFFEX,unknown,IF2412.CFFEX,IF2412.CFFEX,-2.0,0.0,2.0
2024-12-17,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2412.CFFEX,2.0,0.0,-2.0
2024-12-17,IC,IC2503.CFFEX,unknown,IC2412.CFFEX,IC2412.CFFEX,-2.0,0.0,2.0
2024-12-17,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2412.CFFEX,2.0,0.0,-2.0
2024-12-17,IM,IM2503.CFFEX,unknown,IM2412.CFFEX,IM2412.CFFEX,-2.0,0.0,2.0
2024-12-19,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2501.CFFEX,0.0,2.0,2.0
2024-12-19,IC,IC2501.CFFEX,far,IC2412.CFFEX,IC2501.CFFEX,0.0,-2.0,-2.0
2024-12-20,IC,IC2412.CFFEX,unknown,IC2501.CFFEX,IC2501.CFFEX,2.0,0.0,-2.0
2024-12-20,IC,IC2501.CFFEX,near,IC2501.CFFEX,IC2501.CFFEX,-2.0,0.0,2.0
2025-02-05,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,0.0,2.0,2.0
2025-02-05,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,0.0,-2.0,-2.0
2025-02-05,IF,IF2503.CFFEX,near,IF2503.CFFEX,IF2506.CFFEX,0.0,2.0,2.0
2025-02-05,IF,IF2506.CFFEX,far,IF2503.CFFEX,IF2506.CFFEX,0.0,-2.0,-2.0
2025-02-11,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,0.0,2.0,2.0
2025-02-11,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,0.0,-2.0,-2.0
2025-03-18,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2503.CFFEX,2.0,0.0,-2.0
2025-03-18,IC,IC2506.CFFEX,unknown,IC2503.CFFEX,IC2503.CFFEX,-2.0,0.0,2.0
2025-03-18,IF,IF2503.CFFEX,near,IF2503.CFFEX,IF2503.CFFEX,2.0,0.0,-2.0
2025-03-18,IF,IF2506.CFFEX,unknown,IF2503.CFFEX,IF2503.CFFEX,-2.0,0.0,2.0
2025-03-20,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2503.CFFEX,2.0,0.0,-2.0
2025-03-20,IM,IM2506.CFFEX,unknown,IM2503.CFFEX,IM2503.CFFEX,-2.0,0.0,2.0
2025-05-06,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,0.0,2.0,2.0
2025-05-06,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,0.0,-2.0,-2.0
2025-05-08,IC,IC2506.CFFEX,near,IC2506.CFFEX,IC2509.CFFEX,0.0,2.0,2.0
2025-05-08,IC,IC2509.CFFEX,far,IC2506.CFFEX,IC2509.CFFEX,0.0,-2.0,-2.0
2025-06-17,IC,IC2506.CFFEX,near,IC2506.CFFEX,IC2506.CFFEX,2.0,0.0,-2.0
2025-06-17,IC,IC2509.CFFEX,unknown,IC2506.CFFEX,IC2506.CFFEX,-2.0,0.0,2.0
2025-06-19,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2506.CFFEX,2.0,0.0,-2.0
2025-06-19,IM,IM2509.CFFEX,unknown,IM2506.CFFEX,IM2506.CFFEX,-2.0,0.0,2.0
2025-08-01,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2512.CFFEX,0.0,2.0,2.0
2025-08-01,IC,IC2512.CFFEX,far,IC2509.CFFEX,IC2512.CFFEX,0.0,-2.0,-2.0
2025-08-01,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2512.CFFEX,0.0,2.0,2.0
2025-08-01,IM,IM2512.CFFEX,far,IM2509.CFFEX,IM2512.CFFEX,0.0,-2.0,-2.0
2025-09-15,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2509.CFFEX,2.0,0.0,-2.0
2025-09-15,IC,IC2512.CFFEX,unknown,IC2509.CFFEX,IC2509.CFFEX,-2.0,0.0,2.0
2025-09-16,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2509.CFFEX,2.0,0.0,-2.0
2025-09-16,IM,IM2512.CFFEX,unknown,IM2509.CFFEX,IM2509.CFFEX,-2.0,0.0,2.0
2025-11-03,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2603.CFFEX,0.0,2.0,2.0
2025-11-03,IC,IC2603.CFFEX,far,IC2512.CFFEX,IC2603.CFFEX,0.0,-2.0,-2.0
2025-11-03,IF,IF2512.CFFEX,near,IF2512.CFFEX,IF2603.CFFEX,0.0,2.0,2.0
2025-11-03,IF,IF2603.CFFEX,far,IF2512.CFFEX,IF2603.CFFEX,0.0,-2.0,-2.0
2025-11-03,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,0.0,2.0,2.0
2025-11-03,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,0.0,-2.0,-2.0
2025-12-15,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2512.CFFEX,2.0,0.0,-2.0
2025-12-15,IC,IC2603.CFFEX,unknown,IC2512.CFFEX,IC2512.CFFEX,-2.0,0.0,2.0
2025-12-15,IF,IF2512.CFFEX,near,IF2512.CFFEX,IF2512.CFFEX,2.0,0.0,-2.0
2025-12-15,IF,IF2603.CFFEX,unknown,IF2512.CFFEX,IF2512.CFFEX,-2.0,0.0,2.0
2025-12-16,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2512.CFFEX,2.0,0.0,-2.0
2025-12-16,IM,IM2603.CFFEX,unknown,IM2512.CFFEX,IM2512.CFFEX,-2.0,0.0,2.0
2026-02-02,IC,IC2603.CFFEX,near,IC2603.CFFEX,IC2606.CFFEX,0.0,2.0,2.0
2026-02-02,IC,IC2606.CFFEX,far,IC2603.CFFEX,IC2606.CFFEX,0.0,-2.0,-2.0
2026-02-02,IF,IF2603.CFFEX,near,IF2603.CFFEX,IF2606.CFFEX,0.0,2.0,2.0
2026-02-02,IF,IF2606.CFFEX,far,IF2603.CFFEX,IF2606.CFFEX,0.0,-2.0,-2.0
2026-02-02,IM,IM2603.CFFEX,near,IM2603.CFFEX,IM2606.CFFEX,0.0,2.0,2.0
2026-02-02,IM,IM2606.CFFEX,far,IM2603.CFFEX,IM2606.CFFEX,0.0,-2.0,-2.0
2026-03-11,IC,IC2603.CFFEX,near,IC2603.CFFEX,IC2603.CFFEX,2.0,0.0,-2.0
