datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2023-12-08,23339.663999999204,-29872.736000000274,-19542.600000000773
2023-12-11,24059.663999999277,-30352.7360000002,-26202.600000000853
2023-12-12,23579.663999998986,-31152.7360000002,-27462.600000000526
2023-12-13,21098.247999998985,-27952.735999999837,-17922.600000000606
2023-12-14,21098.247999998985,-26473.016000000127,-16842.60000000077
2023-12-15,21098.247999998985,-26473.016000000127,-13309.218000000856
2023-12-18,21098.247999998985,-26473.016000000127,-13309.218000000856
2023-12-19,21098.247999998985,-23276.9959999998,-17149.410000000775
2023-12-20,21098.247999998985,-24042.37999999969,-16249.410000001186
2023-12-21,21098.247999998985,-23597.419999999584,-21649.410000000775
2023-12-22,21098.247999998985,-25436.143999999586,-22369.41000000094
2023-12-25,21098.247999998985,-26073.655999999584,-22549.410000001182
2023-12-26,21098.247999998985,-26913.65599999991,-22369.410000000935
2023-12-27,21098.247999998985,-23313.655999999366,-22549.410000001182
2023-12-28,21098.247999998985,-25953.655999999693,-25069.410000001342
2023-12-29,21098.247999998985,-32479.279999999802,-24529.410000001015
2024-01-02,21098.247999998985,-27370.628000000128,-21649.410000001182
2024-01-03,21098.247999998985,-28255.56799999991,-20929.41000000102
2024-01-04,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-05,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-08,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-09,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-10,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-11,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-12,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-15,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-16,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-17,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-18,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-19,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-22,21098.247999998985,-28255.56799999991,-20279.14200000094
2024-01-23,21098.247999998985,-28255.56799999991,-20279.14200000094
