datetime,IM.CFFEX
2024-01-19,184459.25599999458
2024-01-22,184459.25599999458
2024-01-23,184459.25599999458
2024-01-24,184459.25599999458
2024-01-25,184459.25599999458
2024-01-26,184459.25599999458
2024-01-29,184459.25599999458
2024-01-30,184459.25599999458
2024-01-31,184459.25599999458
2024-02-01,184459.25599999458
2024-02-02,184459.25599999458
2024-02-05,184459.25599999458
2024-02-06,212322.77599999367
2024-02-07,204388.3759999946
2024-02-08,235265.29599999392
2024-02-19,272065.295999995
2024-02-20,280065.295999995
2024-02-21,276865.29599999427
2024-02-22,271665.29599999357
2024-02-23,278065.295999995
2024-02-26,273265.2959999939
2024-02-27,278465.2959999946
2024-02-28,283665.2959999953
2024-02-29,285665.2959999953
2024-03-01,278465.2959999946
2024-03-04,294065.29599999316
2024-03-05,303665.2959999935
2024-03-06,308065.29599999497
2024-03-07,304065.29599999497
2024-03-08,312465.2959999946
2024-03-11,335265.2959999939
2024-03-12,320865.29599999427
2024-03-13,331895.935999995
2024-03-14,331895.935999995
2024-03-15,194935.12399999495
2024-03-18,143894.3239999946
2024-03-19,134430.51599999578
2024-03-20,123697.5239999952
2024-03-21,123697.5239999952
2024-03-22,123697.5239999952
2024-03-25,123697.5239999952
2024-03-26,123697.5239999952
2024-03-27,123697.5239999952
2024-03-28,123697.5239999952
2024-03-29,132588.0839999952
2024-04-01,117108.08399999616
2024-04-02,85611.14399999518
2024-04-03,85611.14399999518
2024-04-08,85611.14399999518
2024-04-09,85611.14399999518
2024-04-10,85611.14399999518
2024-04-11,85611.14399999518
2024-04-12,85611.14399999518
2024-04-15,85611.14399999518
2024-04-16,85611.14399999518
2024-04-17,85611.14399999518
2024-04-18,85611.14399999518
2024-04-19,85611.14399999518
2024-04-22,85611.14399999518
2024-04-23,85611.14399999518
2024-04-24,85611.14399999518
2024-04-25,85611.14399999518
2024-04-26,85611.14399999518
2024-04-29,85611.14399999518
2024-04-30,85611.14399999518
2024-05-06,85611.14399999518
2024-05-07,103789.91999999486
2024-05-08,109549.91999999454
2024-05-09,102709.91999999582
2024-05-10,111709.91999999582
2024-05-13,117469.9199999955
2024-05-14,113149.91999999616
2024-05-15,123589.91999999485
2024-05-16,116029.91999999518
2024-05-17,114949.91999999454
2024-05-20,113509.91999999585
2024-05-21,117109.91999999585
2024-05-22,113869.91999999553
2024-05-23,116029.91999999521
2024-05-24,119629.91999999521
2024-05-27,126109.91999999587
2024-05-28,135469.91999999556
2024-05-29,148069.91999999556
2024-05-30,150589.91999999492
2024-05-31,144109.9199999959
2024-06-03,157789.91999999495
2024-06-04,163549.91999999626
2024-06-05,161389.91999999658
2024-06-06,155269.91999999562
2024-06-07,149869.91999999562
2024-06-11,161029.9199999953
2024-06-12,167509.91999999597
2024-06-13,184429.91999999533
2024-06-14,173989.91999999664
2024-06-17,167509.91999999597
2024-06-18,163549.91999999632
2024-06-19,158085.9119999963
2024-06-20,158085.9119999963
