datetime,IM.CFFEX
2024-02-19,150525.09199999674
2024-02-20,158525.09199999674
2024-02-21,155325.09199999602
2024-02-22,150125.0919999953
2024-02-23,156525.09199999674
2024-02-26,151725.09199999564
2024-02-27,156925.09199999634
2024-02-28,162125.09199999704
2024-02-29,164125.09199999704
2024-03-01,156925.0919999963
2024-03-04,172525.09199999485
2024-03-05,182125.0919999952
2024-03-06,186525.09199999666
2024-03-07,182525.09199999666
2024-03-08,190925.0919999963
2024-03-11,213725.09199999558
2024-03-12,199325.09199999593
2024-03-13,210355.73199999667
2024-03-14,210355.73199999667
2024-03-15,73394.91999999664
2024-03-18,22354.119999996285
2024-03-19,12890.311999997451
2024-03-20,2157.319999996871
2024-03-21,2157.319999996871
2024-03-22,2157.319999996871
2024-03-25,2157.319999996871
2024-03-26,2157.319999996871
2024-03-27,2157.319999996871
2024-03-28,2157.319999996871
2024-03-29,11047.879999996883
2024-04-01,-4432.120000002156
2024-04-02,-35929.06000000313
2024-04-03,-35929.06000000313
2024-04-08,-35929.06000000313
2024-04-09,-35929.06000000313
2024-04-10,-35929.06000000313
2024-04-11,-35929.06000000313
2024-04-12,-35929.06000000313
2024-04-15,-35929.06000000313
2024-04-16,-35929.06000000313
2024-04-17,-35929.06000000313
2024-04-18,-35929.06000000313
2024-04-19,-35929.06000000313
2024-04-22,-35929.06000000313
2024-04-23,-35929.06000000313
2024-04-24,-35929.06000000313
2024-04-25,-35929.06000000313
2024-04-26,-35929.06000000313
2024-04-29,-35929.06000000313
2024-04-30,-35929.06000000313
2024-05-06,-35929.06000000313
2024-05-07,-17750.28400000346
2024-05-08,-11990.28400000378
2024-05-09,-18830.2840000025
2024-05-10,-9830.284000002499
2024-05-13,-4070.284000002819
2024-05-14,-8390.284000002164
2024-05-15,2049.715999996526
2024-05-16,-5510.2840000031465
2024-05-17,-6590.284000003787
2024-05-20,-8030.284000002477
2024-05-21,-4430.284000002477
2024-05-22,-7670.2840000028045
2024-05-23,-5510.284000003125
2024-05-24,-1910.2840000031247
2024-05-27,4569.71599999753
2024-05-28,13929.71599999721
2024-05-29,26529.71599999721
2024-05-30,29049.715999996555
2024-05-31,22569.715999997537
2024-06-03,36249.71599999658
2024-06-04,42009.71599999789
2024-06-05,39849.71599999821
2024-06-06,33729.71599999725
2024-06-07,28329.71599999725
2024-06-11,39489.71599999693
2024-06-12,45969.715999997585
2024-06-13,62889.71599999693
2024-06-14,52449.71599999824
2024-06-17,45969.715999997585
2024-06-18,42009.71599999792
2024-06-19,36545.70799999789
2024-06-20,36545.70799999789
2024-06-21,43738.471999996254
